Size	   Bubble Sort	Selection Sort	Insertion Sort
50	47274.89	17362.715	24262.9
100	37644.145	12474.605	82011.02
150	72810.06	25922.23	14386.25
200	102908.33	39878.66	20803.15
250	154523.88	57718.19	30241.506
300	251263.27	92843.42	49996.934
350	310846.25	111157.72	59704.645
400	397897.1	145059.88	78568.35
450	505563.1	180518.88	97723.04
500	646664.6	227626.92	123685.75
550	713594.75	256275.5	140473.34
600	810753.25	288295.94	156121.16
650	950422.56	333853.75	181814.5
700	1104785.9	392365.4	212866.5
750	1310531.6	454805.0	256174.92
800	1454565.8	514945.8	280546.8
850	1638591.4	581755.75	321280.8
900	1853577.0	654899.25	356046.75
950	2011658.5	713072.8	386247.84
1000	2241434.0	792648.6	434737.16
